Date,SP500Ex7
4/8/2020,1598.3
4/9/2020,1626.5
4/13/2020,1598.74
4/14/2020,1641.05
4/15/2020,1597.66
4/16/2020,1600.85
4/17/2020,1655.26
4/20/2020,1623.2
4/21/2020,1575.85
4/22/2020,1607.7
4/23/2020,1605.92
4/24/2020,1627.22
4/27/2020,1659.38
4/28/2020,1658.57
4/29/2020,1694.77
4/30/2020,1665.85
5/1/2020,1620.77
5/4/2020,1622.67
5/5/2020,1636.52
5/6/2020,1618.16
5/7/2020,1637.24
5/8/2020,1667.55
5/11/2020,1662.09
5/12/2020,1627.14
5/13/2020,1596.1
5/14/2020,1616.41
5/15/2020,1619.97
5/18/2020,1679.32
5/19/2020,1657.21
5/20/2020,1682.27
5/21/2020,1670.02
5/22/2020,1672.97
5/26/2020,1702.76
5/27/2020,1735.73
5/28/2020,1732.59
5/29/2020,1739.07
6/1/2020,1743.77
6/2/2020,1759.38
6/3/2020,1789.49
6/4/2020,1787.26
6/5/2020,1836.76
6/8/2020,1861.34
6/9/2020,1833.1
6/10/2020,1810.29
6/11/2020,1697.52
6/12/2020,1722.68
6/15/2020,1735.96
6/16/2020,1768.46
6/17/2020,1758.39
6/18/2020,1758.66
6/19/2020,1746.32
6/22/2020,1750.73
6/23/2020,1753.82
6/24/2020,1705.16
6/25/2020,1723.9
6/26/2020,1687.73
6/29/2020,1713.01
6/30/2020,1736.73
7/1/2020,1739.53
7/2/2020,1747.6
7/6/2020,1767.54
7/7/2020,1747.09
7/8/2020,1753.86
7/9/2020,1734.1
7/10/2020,1756.07
7/13/2020,1746.7
7/14/2020,1773.64
7/15/2020,1797.16
7/16/2020,1793.99
7/17/2020,1802.62
7/20/2020,1801.05
7/21/2020,1812.54
7/22/2020,1824.78
7/23/2020,1816.97
7/24/2020,1803.37
7/27/2020,1811.96
7/28/2020,1804.83
7/29/2020,1826.39
7/30/2020,1814.13
7/31/2020,1811.44
8/3/2020,1818.77
8/4/2020,1827.99
8/5/2020,1840.27
8/6/2020,1842.41
8/7/2020,1852.56
8/10/2020,1861.65
8/11/2020,1855.7
8/12/2020,1874.01
8/13/2020,1865.66
8/14/2020,1866.08
8/17/2020,1868.73
8/18/2020,1865.27
8/19/2020,1858.14
8/20/2020,1854.54
8/21/2020,1855.07
8/24/2020,1874.93
8/25/2020,1878.95
8/26/2020,1888.3
8/27/2020,1896.04
8/28/2020,1909.95
8/31/2020,1898.9
9/1/2020,1904.93
9/2/2020,1938.06
9/3/2020,1887.31
9/4/2020,1876.74
9/8/2020,1839.47
9/9/2020,1868.04
9/10/2020,1840.84
9/11/2020,1848.49
9/14/2020,1872.89
9/15/2020,1878.39
9/16/2020,1881.26
9/17/2020,1870.4
9/18/2020,1854.79
9/21/2020,1822.32
9/22/2020,1832.07
9/23/2020,1795.98
9/24/2020,1797.7
9/25/2020,1820.57
9/28/2020,1849.47
9/29/2020,1839.78
9/30/2020,1854.44
10/1/2020,1859.55
10/2/2020,1853.41
10/5/2020,1882.88
10/6/2020,1862.44
10/7/2020,1895.15
10/8/2020,1912.6
10/9/2020,1923.26
10/12/2020,1938.48
10/13/2020,1925.73
10/14/2020,1914.49
10/15/2020,1914.81
10/16/2020,1919.8
10/19/2020,1892.53
10/20/2020,1898.74
10/21/2020,1891.31
10/22/2020,1905.48
10/23/2020,1909.92
10/26/2020,1872.42
10/27/2020,1855.19
10/28/2020,1797.25
10/29/2020,1810.5
10/30/2020,1800.33
11/2/2020,1830.78
11/3/2020,1863.77
11/4/2020,1885.99
11/5/2020,1918.07
11/6/2020,1917.44
11/9/2020,1965.21
11/10/2020,1975.39
11/11/2020,1979.81
11/12/2020,1956.56
11/13/2020,1988.4
11/16/2020,2015.54
11/17/2020,2007.54
11/18/2020,1984.38
11/19/2020,1991.26
11/20/2020,1980.06
11/23/2020,2000.24
11/24/2020,2033.8
11/25/2020,2025.54
11/27/2020,2028.1
11/30/2020,2015.89
12/1/2020,2032.92
12/2/2020,2036.24
12/3/2020,2037.77
12/4/2020,2063.02
12/7/2020,2055.01
12/8/2020,2060.9
12/9/2020,2052.56
12/10/2020,2048.62
12/11/2020,2044.37
12/14/2020,2031.95
12/15/2020,2056.41
12/16/2020,2055.48
12/17/2020,2070.6
12/18/2020,2066.39
12/21/2020,2053.91
12/22/2020,2045.01
12/23/2020,2050.59
12/24/2020,2056.92
12/28/2020,2064.57
12/29/2020,2060.77
12/30/2020,2068.77
12/31/2020,2086.93
1/4/2021,2056.93
1/5/2021,2070.56
1/6/2021,2101.6
1/7/2021,2122.28
1/8/2021,2129.47
1/11/2021,2127.43
1/12/2021,2130.26
1/13/2021,2130.11
1/14/2021,2129.35
1/15/2021,2113.82
1/19/2021,2125.81
1/20/2021,2140.97
1/21/2021,2131.04
1/22/2021,2118.76
1/25/2021,2118.32
1/26/2021,2109.39
1/27/2021,2050.31
1/28/2021,2081.38
1/29/2021,2046.18
2/1/2021,2069.08
2/2/2021,2099.9
2/3/2021,2098.49
2/4/2021,2124.6
2/5/2021,2133.51
2/8/2021,2153.34
2/9/2021,2152.37
2/10/2021,2154.33
2/11/2021,2158.01
